token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
interlacing through beads	interlacing through beads	4	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
linocuts	linocuts	4	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
Woodcut on yellow paper	woodcut on yellow paper	4	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Drypoint b	drypoint b	4	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
incised and gilded mother-of-pearl sticks and guards	incised and gilded mother-of-pearl sticks and guards	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Mahogany and damask	mahogany and damask	4	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
gelatin silver print mounted on board	gelatin silver print mounted on board	4	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Relief print on wove paper	relief print on wove paper	4	""	Print	Relief prints (woodcut, linocut)	Relief etching	""	keyword
zincograph in blue color	zincograph in blue color	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and hard ground etching	and hard ground etching	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
gilt silver	gilt silver	4	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
pen and black ink and wash	pen and black ink and wash	4	""	Drawing	Ink	Other ink	""	keyword
abaca fiber	abaca fiber	4	""	Textile	Other textile	Other textile	""	keyword
beaver fur	beaver fur	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pen and brown ink and blue wash on paper	pen and brown ink and blue wash on paper	4	""	Drawing	Ink	Other ink	""	keyword
Color drypoint with colored pencil additions	color drypoint with colored pencil additions	4	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
metallic braid	metallic braid	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
carved and incised sticks and guards	carved and incised sticks and guards	4	""	Sculpture	Other sculpture material	Other sculpture material	""	keyword
Opaque watercolor and gold on paper mounted to a heavier sheet	opaque watercolor and gold on paper mounted to a heavier sheet	4	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
appliqué and reverese appliqué	appliqué and reverese appliqué	4	""	Textile	Other textile	Other textile	""	keyword
gilt	gilt	4	""	Decorative & other materials	Other material	Other material	""	keyword
color stipple and etching with additional hand-coloring	color stipple and etching with additional hand-coloring	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
animal skin	animal skin	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
etching and aquatint with hand coloring	etching and aquatint with hand coloring	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Etching with watercolor by the artist on Rives paper	etching with watercolor by the artist on rives paper	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
metal wire	metal wire	4	""	Decorative & other materials	Other material	Other material	""	keyword
lithograph printed in black  ink	lithograph printed in black  ink	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
sepia and black ink on paper	sepia and black ink on paper	4	""	Drawing	Ink	Other ink	""	keyword
Free-blown glass with applied elements	free-blown glass with applied elements	4	""	Ceramic & glass	Glass	Other glass	""	keyword
blackware	blackware	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
free-blown non-lead glass	free-blown non-lead glass	4	""	Ceramic & glass	Glass	Blown glass	""	keyword
Color screenprint on Louvain Opaque Cover paper	color screenprint on louvain opaque cover paper	4	""	Print	Screenprints & stencils	Screenprint	""	keyword
and painted ivory sticks and guards	and painted ivory sticks and guards	4	""	Painting	Other paint	Other paint	""	keyword
Etching and aquatint with drypoint	etching and aquatint with drypoint	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Linocut on Montval wove paper	linocut on montval wove paper	4	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
Drypoint on cream wove paper	drypoint on cream wove paper	4	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
sandstone	sandstone	4	material	Other / unclassified	Other / unclassified	Sandstone	300011376	other
black ink and colored pencils on paper	black ink and colored pencils on paper	4	""	Drawing	Ink	Other ink	""	keyword
braiding	braiding	4	technique	Other / unclassified	Other / unclassified	Braiding	300053638	other
Color screenprint with varnish overprint on Arches 88 paper	color screenprint with varnish overprint on arches 88 paper	4	""	Print	Screenprints & stencils	Screenprint	""	keyword
fur and rawhide	fur and rawhide	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
stamped	stamped	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
leather case	leather case	4	""	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	""	keyword
Crayon lithograph with scraping	crayon lithograph with scraping	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
spit bite aquatint with drypoint and scrape and burnish	spit bite aquatint with drypoint and scrape and burnish	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
silk and metal embroidery on cotton	silk and metal embroidery on cotton	4	""	Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	""	keyword
Relief etching and color aquatint	relief etching and color aquatint	4	""	Print	Relief prints (woodcut, linocut)	Relief etching	""	keyword
Soapstone	soapstone	4	material	Other / unclassified	Other / unclassified	Soapstone	300011665	other
pandandus	pandandus	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
backing	backing	4	material	Textile	Other textile	Backing	300227764	aat
iron and wood	iron and wood	4	""	Decorative & other materials	Base metal (bronze, iron, copper)	Iron	""	keyword
Color lithograph with hand coloring  mounted on text page	color lithograph with hand coloring  mounted on text page	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
pounamu)	pounamu)	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Drypoint with scraping	drypoint with scraping	4	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
and criminal rapsheet	and criminal rapsheet	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and soft ground etching on Somerset paper	and soft ground etching on somerset paper	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Charcoal and graphite	charcoal and graphite	4	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
wool and silk tapestry	wool and silk tapestry	4	""	Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	""	keyword
black and white chalk on blue paper	black and white chalk on blue paper	4	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
color aquatint etching with hardground	color aquatint etching with hardground	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
stipple and etching (hand-colored)	stipple and etching (hand-colored)	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
black ink on plastic	black ink on plastic	4	""	Drawing	Ink	Black ink	""	keyword
brown ink and watercolor wash over graphite underdrawing	brown ink and watercolor wash over graphite underdrawing	4	""	Drawing	Ink	Other ink	""	keyword
etching and aquatint with hand color	etching and aquatint with hand color	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
silver gelatin print stereographic card	silver gelatin print stereographic card	4	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
lambskin	lambskin	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Graphite and wash on laid paper	graphite and wash on laid paper	4	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
embroidered lawn	embroidered lawn	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
upholstered	upholstered	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Three color lithographs with gold leaf	three color lithographs with gold leaf	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
albumen silver print mounted to album page	albumen silver print mounted to album page	4	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Etching in brown ink	etching in brown ink	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Color etching printed in red and blue	color etching printed in red and blue	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
book with reproductions of engravings	book with reproductions of engravings	4	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
plain-weave lining	plain-weave lining	4	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
color aquatint and etching on paper	color aquatint and etching on paper	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Fiber - pandanus	fiber - pandanus	4	""	Textile	Other textile	Other textile	""	keyword
positive of unknown film type	positive of unknown film type	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
cassowary feathers	cassowary feathers	4	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
wood and cane	wood and cane	4	""	Decorative & other materials	Wood	Wood	""	keyword
lithograph on laid Isle de France paper	lithograph on laid isle de france paper	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
black and brown ink	black and brown ink	4	""	Drawing	Ink	Other ink	""	keyword
monotype on handmade paper	monotype on handmade paper	4	""	Print	Lithographs (planographic)	Monotype / monoprint	""	keyword
doubleweave	doubleweave	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
colored ink drawing	colored ink drawing	4	""	Drawing	Ink	Colored ink	""	keyword
zinc plate	zinc plate	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Cotton damask	cotton damask	4	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
casein	casein	4	material	Other / unclassified	Other / unclassified	Casein	300011799	other
Flemish bobbin lace	flemish bobbin lace	4	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
crayon manner engraving printed in gray-brown ink	crayon manner engraving printed in gray-brown ink	4	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Color etching printed in blue and yellow	color etching printed in blue and yellow	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
faceted glass beads	faceted glass beads	4	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
printed with silver halide black-and-white film	printed with silver halide black-and-white film	4	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
sponged and splattered transparent and opaque watercolor	sponged and splattered transparent and opaque watercolor	4	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
Color wooduct	color wooduct	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Enamel with gold mounts	enamel with gold mounts	4	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
wood-engraving printed on chine colle	wood-engraving printed on chine colle	4	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
Recto: Graphite on tracing paper	recto: graphite on tracing paper	4	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
airbrushed acrylic on gessoed Crescent board	airbrushed acrylic on gessoed crescent board	4	""	Painting	Acrylic	Acrylic	""	keyword
Aquatint with hard ground etching	aquatint with hard ground etching	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
zincograph in yellow color	zincograph in yellow color	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
sanding	sanding	4	technique	Other / unclassified	Other / unclassified	Sanding	300230069	other
cowerie shells	cowerie shells	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Mixed media intaglio	mixed media intaglio	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
exposed	exposed	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Etching printed in brown	etching printed in brown	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
diamond	diamond	4	material	Other / unclassified	Other / unclassified	Diamond	300011084	other
Color aquatint with soft ground etching	color aquatint with soft ground etching	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color monotype with additional  hand coloring	color monotype with additional  hand coloring	4	""	Print	Lithographs (planographic)	Monotype / monoprint	""	keyword
color spitbite aquatint with softground	color spitbite aquatint with softground	4	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
wool flannel	wool flannel	4	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
Typographical print from zincograph plate reworked with engraving by the artist	typographical print from zincograph plate reworked with engraving by the artist	4	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
and cord	and cord	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
weft faced plain weave	weft faced plain weave	4	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Lithograph on Bütten paper	lithograph on bütten paper	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
bronze relief medal	bronze relief medal	4	""	Sculpture	Bronze	Bronze	""	keyword
