token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
wood and string	wood and string	3	""	Decorative & other materials	Wood	Wood	""	keyword
vegetale dyes	vegetale dyes	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
cyanotype photopostcard	cyanotype photopostcard	3	""	Photograph	Cyanotype	Cyanotype	""	keyword
complementary weft patterning	complementary weft patterning	3	""	Textile	Other textile	Other textile	""	keyword
and raffia	and raffia	3	""	Textile	Other textile	Other textile	""	keyword
Lithograph on Arches roll paper	lithograph on arches roll paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
black pigment	black pigment	3	material	Other / unclassified	Other / unclassified	Black pigment	300013135	other
silver frame	silver frame	3	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
color offset lithograph poster printed on foil	color offset lithograph poster printed on foil	3	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
and graphite on wove paper	and graphite on wove paper	3	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
and sago leaf	and sago leaf	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
green ink on paper	green ink on paper	3	""	Drawing	Ink	Ink (unspecified)	""	keyword
wood with ochre	wood with ochre	3	""	Decorative & other materials	Wood	Wood	""	keyword
black chalk heightened with white chalk	black chalk heightened with white chalk	3	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
cut voided velvet	cut voided velvet	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Sheet-lead relief	sheet-lead relief	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silver gelatin print with hand coloring	silver gelatin print with hand coloring	3	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
silk plain weave lining	silk plain weave lining	3	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
color woodcut: two right panels of an oban triptych	color woodcut: two right panels of an oban triptych	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Color etching and drypoint	color etching and drypoint	3	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
boar's hair	boar's hair	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
flocked paper	flocked paper	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
galloon	galloon	3	material	Textile	Other textile	Galloon	300231784	aat
beaded	beaded	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
wool crepe	wool crepe	3	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
Loose as issued in printed self-wrapper	loose as issued in printed self-wrapper	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color woodcut and oil paint on glass in artist's frame	color woodcut and oil paint on glass in artist's frame	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
etching on Holland Van Gelder paper	etching on holland van gelder paper	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
rayon lining	rayon lining	3	""	Textile	Synthetic fiber (nylon, polyester)	Synthetic fiber (nylon, polyester)	""	keyword
and soft ground etching printed on three sheets of Somerset Textured White paper	and soft ground etching printed on three sheets of somerset textured white paper	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
ink on paper (card)	ink on paper (card)	3	""	Drawing	Ink	Ink (unspecified)	""	keyword
animal hide	animal hide	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
cloth spine	cloth spine	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Lithograph with hand coloring on Arches Cover paper	lithograph with hand coloring on arches cover paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
