section	subcategory	specific	tokens	objects
Other / unclassified	Other / unclassified	Embossing	1	12
Textile	Other textile	Japan paper	1	12
Other / unclassified	Other / unclassified	Burnishing	1	11
Textile	Other textile	Slit tapestry	1	11
Painting	Other paint	Painting	1	11
Textile	Other textile	Cord	1	11
Other / unclassified	Other / unclassified	Wrapping	1	11
Textile	Other textile	Twill	1	11
Textile	Other textile	Organza	1	11
Other / unclassified	Other / unclassified	Grass	1	11
Decorative & other materials	Other material	Polyamide	1	11
Decorative & other materials	Lacquer & enamel	Lacquer	1	10
Textile	Other textile	Rope	1	10
Other / unclassified	Other / unclassified	Agate	1	10
Decorative & other materials	Other material	Maple	1	10
Other / unclassified	Other / unclassified	Pearl	1	10
Decorative & other materials	Other material	Pine	1	10
Other / unclassified	Other / unclassified	Sinew	1	10
Textile	Other textile	Elastic	1	10
Other / unclassified	Other / unclassified	Vellum	1	10
Textile	Other textile	Braid	1	10
Textile	Other textile	Lamé	1	10
Other / unclassified	Other / unclassified	Reproduction	1	10
Textile	Other textile	Denim	1	10
Other / unclassified	Other / unclassified	Basalt	1	9
Other / unclassified	Other / unclassified	Serpentine	1	9
Textile	Woven & worked cloth	Gauze	1	9
Textile	Other textile	Mulberry paper	1	9
Other / unclassified	Other / unclassified	Skin	1	9
Other / unclassified	Other / unclassified	Cane	1	9
Other / unclassified	Other / unclassified	Hard ground	1	9
Other / unclassified	Other / unclassified	Coiling	1	9
Other / unclassified	Other / unclassified	Rawhide	1	9
Decorative & other materials	Other material	Mother of pearl	1	8
Other / unclassified	Other / unclassified	Sealskin	1	8
Painting	Acrylic	Acrylic paint	1	8
Photograph	Ambrotype / tintype	Ambrotype	1	8
Textile	Other textile	Tapestry	1	8
Ceramic & glass	Other ceramic & glass	Rhinestone	1	8
Print	Screenprints & stencils	Other stencil work	4	8
Other / unclassified	Other / unclassified	Piecing	1	8
Textile	Thread & trimmings	Gold thread	1	8
Decorative & other materials	Animal material (ivory, bone, leather)	Other animal material	8	8
Decorative & other materials	Other material	Wax	1	8
Photograph	Other photographic	Heliotype	1	7
Textile	Other textile	Pandanus	1	7
Textile	Woven & worked cloth	Bark cloth	1	7
Other / unclassified	Other / unclassified	Stem	1	7
Other / unclassified	Other / unclassified	Dye	1	7
Other / unclassified	Other / unclassified	Wash	1	7
Decorative & other materials	Other material	Rosewood	1	7
Other / unclassified	Other / unclassified	Soft ground	1	7
Textile	Other textile	Japanese paper	1	7
Other / unclassified	Other / unclassified	Parchment	1	7
